paper_id,field1,domain1,field2,domain2,field3,domain3
1332929,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1354490,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences
1483511,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1411504,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1431078,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
1495101,Engineering,Physical Sciences,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1165375,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
167901,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Chemistry,Physical Sciences
645731,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,,
737667,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,Materials Science,Physical Sciences
437360,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences
64673,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Engineering,Physical Sciences
1346035,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
1345260,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences
1473202,Environmental Science,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1474885,Agricultural and Biological Sciences,Life Sciences,,,,
1437981,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
60930,Agricultural and Biological Sciences,Life Sciences,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1440190,Engineering,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1371867,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Earth and Planetary Sciences,Physical Sciences
1357541,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Chemistry,Physical Sciences
73301,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,Materials Science,Physical Sciences
1386977,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,,
1437296,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Neuroscience,Life Sciences
1396661,Materials Science,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
394207,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
1497691,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,Neuroscience,Life Sciences
14718,Immunology and Microbiology,Life Sciences,Medicine,Health Sciences,,
1412418,Medicine,Health Sciences,Immunology and Microbiology,Life Sciences,,
1521533,Psychology,Social Sciences,Neuroscience,Life Sciences,Computer Science,Physical Sciences
1308142,Agricultural and Biological Sciences,Life Sciences,,,,
39005,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,,
530137,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1377983,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences,Earth and Planetary Sciences,Physical Sciences
253601,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Medicine,Health Sciences
1523402,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Neuroscience,Life Sciences
1354644,Earth and Planetary Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
547297,Materials Science,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
154026,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences
56203,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences
1446357,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
1350201,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences
1455117,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
1241386,Computer Science,Physical Sciences,Neuroscience,Life Sciences,Physics and Astronomy,Physical Sciences
1414581,Computer Science,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
642942,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Chemistry,Physical Sciences,Physics and Astronomy,Physical Sciences
1531730,Physics and Astronomy,Physical Sciences,Decision Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
597319,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1267699,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
11503,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,Physics and Astronomy,Physical Sciences
1213779,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
133499,Environmental Science,Physical Sciences,Neuroscience,Life Sciences,,
1234990,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1248872,"Economics, Econometrics and Finance",Social Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1510042,Neuroscience,Life Sciences,Computer Science,Physical Sciences,,
499912,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,Psychology,Social Sciences
343917,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1508857,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
495451,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1364000,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
172621,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,,
1459615,Materials Science,Physical Sciences,Chemistry,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
28341,Agricultural and Biological Sciences,Life Sciences,Physics and Astronomy,Physical Sciences,Earth and Planetary Sciences,Physical Sciences
1193948,Earth and Planetary Sciences,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1277563,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Neuroscience,Life Sciences
45980,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
1372800,Computer Science,Physical Sciences,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
240236,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1530205,Neuroscience,Life Sciences,Computer Science,Physical Sciences,Physics and Astronomy,Physical Sciences
942117,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
1502895,Neuroscience,Life Sciences,,,,
121176,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
451797,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
189171,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences
1437518,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences
80319,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences
1301010,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Earth and Planetary Sciences,Physical Sciences
53789,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
334371,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,Environmental Science,Physical Sciences
1477967,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
1528508,Physics and Astronomy,Physical Sciences,Earth and Planetary Sciences,Physical Sciences,Neuroscience,Life Sciences
52247,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
1514710,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,Mathematics,Physical Sciences
55382,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,Neuroscience,Life Sciences
1433437,Earth and Planetary Sciences,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1531609,Engineering,Physical Sciences,Chemical Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
144678,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
195590,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
291058,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1486085,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences
228430,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
22817,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1478925,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1068338,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1158165,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
1473919,Neuroscience,Life Sciences,Social Sciences,Social Sciences,Medicine,Health Sciences
798394,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,,
1231135,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,Physics and Astronomy,Physical Sciences
11806,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1474493,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1365901,Neuroscience,Life Sciences,Psychology,Social Sciences,Computer Science,Physical Sciences
15464,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
208202,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,,
1194304,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
197328,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Social Sciences,Social Sciences,,
1358123,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
1468160,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1342318,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1275022,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
992851,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1204466,Psychology,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences
1481694,Agricultural and Biological Sciences,Life Sciences,,,,
1220945,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1471425,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
49821,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
960298,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1431271,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
405814,Computer Science,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,Environmental Science,Physical Sciences
1509079,Neuroscience,Life Sciences,Psychology,Social Sciences,,
849372,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,,
230815,"Economics, Econometrics and Finance",Social Sciences,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
327657,Neuroscience,Life Sciences,Engineering,Physical Sciences,,
27616,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1144286,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1391977,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
134685,Materials Science,Physical Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
589421,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,,
1430048,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Neuroscience,Life Sciences,Computer Science,Physical Sciences
535447,"Economics, Econometrics and Finance",Social Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
658420,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
306860,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
139911,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,Environmental Science,Physical Sciences
1464120,Computer Science,Physical Sciences,Engineering,Physical Sciences,Neuroscience,Life Sciences
111405,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,,
1468865,Computer Science,Physical Sciences,Medicine,Health Sciences,Neuroscience,Life Sciences
1354587,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1316251,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
250891,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1322206,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences,Engineering,Physical Sciences
41104,Materials Science,Physical Sciences,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1510332,Agricultural and Biological Sciences,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences
1453507,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
1322459,Agricultural and Biological Sciences,Life Sciences,,,,
1446012,Chemistry,Physical Sciences,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1525349,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Neuroscience,Life Sciences
1248060,Chemical Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences
388972,Computer Science,Physical Sciences,Neuroscience,Life Sciences,,
120221,Neuroscience,Life Sciences,Computer Science,Physical Sciences,,
304171,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1480001,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1444151,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences
726636,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
293061,"Business, Management and Accounting",Social Sciences,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
350313,Engineering,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1389860,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Physics and Astronomy,Physical Sciences,Earth and Planetary Sciences,Physical Sciences
1255793,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1383473,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
148303,Neuroscience,Life Sciences,Social Sciences,Social Sciences,,
1351342,Agricultural and Biological Sciences,Life Sciences,,,,
1367583,Chemistry,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
774023,Mathematics,Physical Sciences,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,,
144267,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1076487,Neuroscience,Life Sciences,Engineering,Physical Sciences,Environmental Science,Physical Sciences
1391252,Mathematics,Physical Sciences,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
40170,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Earth and Planetary Sciences,Physical Sciences
1459221,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
18277,Engineering,Physical Sciences,Chemistry,Physical Sciences,Neuroscience,Life Sciences
1465399,Physics and Astronomy,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1224184,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1431493,Neuroscience,Life Sciences,Chemistry,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1441168,Physics and Astronomy,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
245552,"Economics, Econometrics and Finance",Social Sciences,Agricultural and Biological Sciences,Life Sciences,Decision Sciences,Social Sciences
1512419,Decision Sciences,Social Sciences,Agricultural and Biological Sciences,Life Sciences,Chemistry,Physical Sciences
80263,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1281881,Social Sciences,Social Sciences,Neuroscience,Life Sciences,Computer Science,Physical Sciences
512508,Medicine,Health Sciences,Mathematics,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1366957,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1470142,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Neuroscience,Life Sciences
84996,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1353422,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
591016,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1266177,Neuroscience,Life Sciences,Psychology,Social Sciences,,
1499501,Social Sciences,Social Sciences,Environmental Science,Physical Sciences,Neuroscience,Life Sciences
30417,Decision Sciences,Social Sciences,"Economics, Econometrics and Finance",Social Sciences,Agricultural and Biological Sciences,Life Sciences
650514,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Medicine,Health Sciences,Neuroscience,Life Sciences
1488510,Neuroscience,Life Sciences,"Economics, Econometrics and Finance",Social Sciences,,
474964,Materials Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Computer Science,Physical Sciences
1442759,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences
1218759,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,Computer Science,Physical Sciences
91500,Health Professions,Health Sciences,Neuroscience,Life Sciences,Engineering,Physical Sciences
1510894,Health Professions,Health Sciences,Neuroscience,Life Sciences,Engineering,Physical Sciences
412687,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1494045,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Materials Science,Physical Sciences
1365265,Agricultural and Biological Sciences,Life Sciences,Physics and Astronomy,Physical Sciences,Chemistry,Physical Sciences
1500512,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences,Neuroscience,Life Sciences
59857,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
209833,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
557196,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
421831,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
1217531,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1436042,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Environmental Science,Physical Sciences,,
36445,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
267432,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1527319,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1508145,Computer Science,Physical Sciences,Neuroscience,Life Sciences,,
1397722,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1312829,Neuroscience,Life Sciences,Engineering,Physical Sciences,Health Professions,Health Sciences
259264,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
489578,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1505179,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
202952,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Decision Sciences,Social Sciences,Physics and Astronomy,Physical Sciences
1529192,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
1300656,Engineering,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1372144,Medicine,Health Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
71196,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1249612,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
412898,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
280907,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,Physics and Astronomy,Physical Sciences
1338889,Engineering,Physical Sciences,Neuroscience,Life Sciences,,
259259,Neuroscience,Life Sciences,Health Professions,Health Sciences,,
1237422,Computer Science,Physical Sciences,Neuroscience,Life Sciences,Health Professions,Health Sciences
80448,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Earth and Planetary Sciences,Physical Sciences
1509703,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Earth and Planetary Sciences,Physical Sciences,Physics and Astronomy,Physical Sciences
215198,Computer Science,Physical Sciences,Social Sciences,Social Sciences,Neuroscience,Life Sciences
744391,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
224912,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
231298,Neuroscience,Life Sciences,Computer Science,Physical Sciences,,
1333866,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1375904,Neuroscience,Life Sciences,Physics and Astronomy,Physical Sciences,Computer Science,Physical Sciences
32970,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Decision Sciences,Social Sciences,,
1531088,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
1385879,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Engineering,Physical Sciences,,
907593,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,,,
1475544,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,,
269208,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1332556,Physics and Astronomy,Physical Sciences,Earth and Planetary Sciences,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1525533,Computer Science,Physical Sciences,Neuroscience,Life Sciences,,
291805,Computer Science,Physical Sciences,Engineering,Physical Sciences,Neuroscience,Life Sciences
1474773,Engineering,Physical Sciences,Neuroscience,Life Sciences,,
1475653,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
1491665,Social Sciences,Social Sciences,Computer Science,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1324321,Computer Science,Physical Sciences,Social Sciences,Social Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
1411150,Earth and Planetary Sciences,Physical Sciences,Environmental Science,Physical Sciences,Agricultural and Biological Sciences,Life Sciences
651111,Computer Science,Physical Sciences,Engineering,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences
67749,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Chemistry,Physical Sciences
645870,Physics and Astronomy,Physical Sciences,Neuroscience,Life Sciences,,
33066,Computer Science,Physical Sciences,Neuroscience,Life Sciences,Physics and Astronomy,Physical Sciences
1491229,Physics and Astronomy,Physical Sciences,"Biochemistry, Genetics and Molecular Biology",Life Sciences,,
468703,Engineering,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
1458711,Engineering,Physical Sciences,Agricultural and Biological Sciences,Life Sciences,,
35517,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,,
1233765,"Biochemistry, Genetics and Molecular Biology",Life Sciences,Mathematics,Physical Sciences,,
